name;type;process;class;coherence
AREA;patch;other;fr.inrae.act.bagap.chloe.window.metric.patch.SurfaceIndex;4
Nclass;value;other;fr.inrae.act.bagap.chloe.window.metric.value.CountClassMetric;1
Central;value;other;fr.inrae.act.bagap.chloe.window.metric.basic.CentralValue;0
pCentral;value;other;fr.inrae.act.bagap.chloe.window.metric.value.RateCentralValue;1
vCentral;value;other;fr.inrae.act.bagap.chloe.window.metric.quantitative.VCentralValue;3
AI-class;couple;value;fr.inrae.act.bagap.chloe.window.metric.couple.AggregationClassIndex;1
AI;couple;other;fr.inrae.act.bagap.chloe.window.metric.couple.AggregationIndex;1
AIm;couple;value;fr.inrae.act.bagap.chloe.window.metric.couple.AggregationIndexMultiple;1
AI2m;couple;value;fr.inrae.act.bagap.chloe.window.metric.couple.AggregationIndexMultiple2;1
EMS;patch;other;fr.inrae.act.bagap.chloe.window.metric.patch.EffectiveMeshSizeMetric;4
EMS-class;patch;value;fr.inrae.act.bagap.chloe.window.metric.patch.EffectiveMeshSizeClassMetric;4
Majority;value;other;fr.inrae.act.bagap.chloe.window.metric.value.MajorityClassMetric;1
slope-direction;slope;other;fr.inrae.act.bagap.chloe.window.metric.slope.SlopeDirectionMetric;6
slope-intensity;slope;other;fr.inrae.act.bagap.chloe.window.metric.slope.SlopeIntensityMetric;6
surface;continuity;other;fr.inrae.act.bagap.chloe.window.metric.continuity.SurfaceAccessibilityMetric;7
volume;continuity;other;fr.inrae.act.bagap.chloe.window.metric.continuity.VolumeMovementMetric;7
source-erosion-emprise;erosion;other;fr.inrae.act.bagap.chloe.window.metric.erosion.SourceErosionEmpriseMetric;8
source-erosion-intensity;erosion;other;fr.inrae.act.bagap.chloe.window.metric.erosion.SourceErosionIntensityMetric;8
degat-erosion-emprise;degaterosion;other;fr.inrae.act.bagap.chloe.window.metric.erosion.DegatErosionEmpriseMetric;9
degat-erosion-intensity;degaterosion;other;fr.inrae.act.bagap.chloe.window.metric.erosion.DegatErosionIntensityMetric;9
mass-cumul;degaterosion;other;fr.inrae.act.bagap.chloe.window.metric.erosion.MassCumulMetric;9
dispersion;dispersal;other;fr.inrae.act.bagap.chloe.window.metric.dispersion.DispersionMetric;10
